,item_code,item_name,po_no,uld_no,package,qty_qty,qty_unit
0,BN83-19982A,Assy speaker,VB1RQ230124BRSV1,MRKU0682460,2.00,192,PCS
1,BN83-19983A,Assy speaker,VB1RQ230124BRSV1,MRKU0682460,2.00,192,PCS
